Page ID,Page Name,Disclaimer,Amount Spent (USD)
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,878
303061950155375,John James,"JOHN JAMES FOR SENATE, INC.",878
34370387440,JDRF,JDRF INTERNATIONAL,874
99612358427,American Family Insurance,AMERICAN FAMILY LIFE INSURANCE COMPANY,874
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",872
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",870
414507242439358,DNC War Room,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,860
393076844046051,Progressive Caucus,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,856
10461186460,Ben & Jerry's,"BEN & JERRY'S HOMEMADE, INC.",852
126575267904438,Love Beauty and Planet,Unilever,851
107478604080028,Way To A Happy Heart,Iesha Marriah Nixon,849
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,843
216311481960,Bill Gates,Bill Gates,843
160389977329803,ATTN:,ATTN: INC.,838
10423517786,Harvard Business Review,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,834
112325855474892,Speak Up For Education and Kids,National Education Association,832
8473889271,National Parks Conservation Association,National Parks Conservation Association,825
376776419037747,Turning Point USA,Turning Point USA,824
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,822
420785874975425,Conservative Institute,The Conservative Institute,820
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",819
129914120385683,Families USA,Families USA,818
139398939438430,Left Action,Left Action LLC,818
214654472015772,Minnesota Gun Rights,Minnesota Gun-Rights,816
197760674021143,Indivisible Guide,INDIVISIBLE ACTION,813
103376804451432,Trending Politics,Making Web LLC,809
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",802
67626834312,National Women's Law Center,National Women's Law Center,802
103744903024220,MN350: Building a Climate Movement in Minnesota,MN350 & MN350 Action,802
101165966152,AFL-CIO,AFL-CIO,798
111428049989,Cal Cunningham,CAL FOR NC,785
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",782
